a 0.000800 0.003100 0.002700 0.001100 0.006400 0.001500 0.003000 0.002000 0.000500 0.000100 0.000700 0.005900 0.002800 0.010200 0.000000 0.000400 0.000000 0.005100 0.005300 0.004600 0.007500 0.000200 0.000300 0.000000 0.000100 0.000200
b 0.001600 0.000100 0.000000 0.000100 0.010100 0.000000 0.000300 0.000100 0.001200 0.000000 0.000100 0.000900 0.000000 0.000100 0.000800 0.000000 0.000000 0.000900 0.000600 0.000400 0.001400 0.000000 0.000100 0.000000 0.000100 0.000100
c 0.000200 0.000000 0.000000 0.000200 0.000100 0.000000 0.000000 0.024200 0.000100 0.000000 0.001400 0.000100 0.000000 0.000000 0.000200 0.000000 0.000000 0.000000 0.000100 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
d 0.005400 0.000300 0.000100 0.001300 0.022700 0.000300 0.000400 0.000200 0.009300 0.000100 0.000300 0.000500 0.000400 0.000600 0.000900 0.000300 0.000000 0.001000 0.001100 0.000600 0.001600 0.000300 0.000400 0.000000 0.000000 0.000300
e 0.002600 0.004500 0.002500 0.005100 0.002300 0.002600 0.005000 0.005700 0.019300 0.000300 0.001900 0.006300 0.005500 0.040000 0.000600 0.001300 0.000100 0.040900 0.014000 0.005500 0.003600 0.001400 0.002300 0.000200 0.000100 0.001100
f 0.001900 0.000200 0.000000 0.000900 0.002500 0.001200 0.000300 0.000100 0.000700 0.000000 0.000100 0.000500 0.000100 0.000200 0.000900 0.000100 0.000000 0.001800 0.000400 0.002000 0.002400 0.000100 0.000100 0.000000 0.000000 0.000100
g 0.002000 0.000300 0.000000 0.001200 0.014700 0.000200 0.000300 0.000300 0.001900 0.000100 0.000300 0.000900 0.000300 0.000500 0.000600 0.000100 0.000900 0.001400 0.001800 0.001800 0.001100 0.000400 0.000300 0.000000 0.000000 0.000300
h 0.007000 0.000400 0.000100 0.001400 0.010200 0.000200 0.000400 0.000300 0.002300 0.000100 0.000300 0.002500 0.001100 0.001900 0.001800 0.000100 0.000000 0.003700 0.001100 0.004700 0.001100 0.000400 0.000900 0.000000 0.000000 0.000300
i 0.000700 0.000700 0.007600 0.002000 0.016300 0.000500 0.003800 0.001200 0.000100 0.000100 0.001200 0.002500 0.002700 0.016800 0.002000 0.000200 0.000000 0.001700 0.007900 0.007800 0.000300 0.000500 0.000100 0.000000 0.000000 0.000500
j 0.000900 0.000000 0.000000 0.000000 0.000900 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000200 0.000000 0.000000 0.000000 0.000000 0.000000 0.000500 0.000000 0.000000 0.000000 0.000000 0.000000
k 0.002600 0.000100 0.000000 0.000200 0.002600 0.000100 0.000100 0.000100 0.000700 0.000000 0.000100 0.001000 0.000100 0.000100 0.002400 0.000100 0.000000 0.001300 0.000500 0.001400 0.000900 0.000100 0.000100 0.000000 0.000000 0.000100
l 0.004500 0.000700 0.000200 0.001400 0.006500 0.000500 0.000600 0.000200 0.006100 0.000100 0.000700 0.004200 0.000300 0.000400 0.001400 0.000200 0.000000 0.000200 0.002200 0.002700 0.001300 0.000300 0.000200 0.000000 0.000000 0.000300
m 0.004000 0.000600 0.000100 0.000800 0.005000 0.000400 0.000400 0.000300 0.004400 0.000200 0.000300 0.000400 0.002300 0.000300 0.001500 0.000700 0.000000 0.000200 0.001000 0.000800 0.001400 0.000400 0.000300 0.000000 0.000000 0.000200
n 0.006800 0.002300 0.000500 0.018700 0.012200 0.001900 0.009400 0.001700 0.006500 0.000500 0.002500 0.001900 0.002300 0.004300 0.001800 0.001000 0.000000 0.001000 0.007400 0.005900 0.003300 0.001800 0.002900 0.000000 0.000000 0.002500
o 0.000300 0.000800 0.001500 0.000700 0.002500 0.000600 0.000500 0.000900 0.000100 0.000100 0.000300 0.003100 0.001700 0.006400 0.000100 0.000600 0.000000 0.005000 0.001900 0.000900 0.000300 0.000300 0.000700 0.000000 0.000100 0.000600
p 0.001600 0.000000 0.000000 0.000300 0.001000 0.000600 0.000000 0.000200 0.000400 0.000000 0.000000 0.000400 0.000000 0.000000 0.001100 0.000500 0.000000 0.002300 0.000100 0.000300 0.000400 0.000000 0.000000 0.000000 0.000000 0.000000
q 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000200 0.000000 0.000000 0.000000 0.000000 0.000000
r 0.008000 0.002500 0.000900 0.006700 0.011200 0.001800 0.002700 0.001900 0.005200 0.000400 0.002300 0.001800 0.002000 0.003100 0.003000 0.000900 0.000000 0.001500 0.005400 0.004900 0.004800 0.001200 0.001700 0.000000 0.000000 0.001400
s 0.003600 0.001000 0.008900 0.002000 0.009900 0.000700 0.001300 0.000900 0.006500 0.000200 0.001100 0.000900 0.001200 0.000700 0.002800 0.002200 0.000000 0.000800 0.007600 0.011600 0.001500 0.000900 0.001000 0.000000 0.000200 0.000700
