a 0.000100 0.003200 0.003900 0.001500 0.000000 0.001000 0.001800 0.000000 0.001600 0.000000 0.001000 0.007700 0.001800 0.017200 0.000200 0.003100 0.000100 0.010100 0.006700 0.012400 0.001200 0.002400 0.000700 0.000000 0.002700 0.000100
b 0.000800 0.000000 0.000000 0.000000 0.005800 0.000000 0.000000 0.000000 0.000600 0.000200 0.000000 0.002100 0.000100 0.000000 0.001100 0.000000 0.000000 0.000600 0.000500 0.000000 0.002500 0.000000 0.000000 0.000000 0.001900 0.000000
c 0.004400 0.000000 0.001200 0.000000 0.005500 0.000100 0.000000 0.004600 0.001500 0.000000 0.000800 0.001600 0.000000 0.000000 0.005900 0.000100 0.000000 0.000700 0.000100 0.003800 0.001600 0.000000 0.000100 0.000000 0.000000 0.000000
d 0.004500 0.001800 0.000400 0.001000 0.003900 0.001200 0.000200 0.000300 0.005700 0.000100 0.000000 0.000700 0.000900 0.000500 0.003700 0.000700 0.000100 0.001000 0.003200 0.003900 0.000800 0.000400 0.000900 0.000000 0.000600 0.000000
e 0.006500 0.001100 0.006400 0.010700 0.003900 0.002300 0.002000 0.001500 0.004000 0.000100 0.000200 0.004600 0.004300 0.012000 0.004600 0.003200 0.001400 0.015400 0.014500 0.008000 0.000700 0.001600 0.004100 0.001700 0.001700 0.000000
f 0.002100 0.000200 0.000900 0.000100 0.002500 0.001400 0.000100 0.000600 0.002100 0.000100 0.000000 0.001000 0.000300 0.000200 0.003800 0.000300 0.000000 0.000400 0.000800 0.004200 0.001100 0.000100 0.000400 0.000000 0.000100 0.000000
g 0.001100 0.000200 0.000100 0.000100 0.003200 0.000300 0.000100 0.001600 0.001000 0.000000 0.000000 0.000400 0.000100 0.000300 0.002300 0.000100 0.000000 0.002100 0.000700 0.001300 0.000800 0.000000 0.000200 0.000000 0.000100 0.000000
h 0.008400 0.000100 0.000200 0.000100 0.025100 0.000200 0.000000 0.000500 0.007200 0.000000 0.000000 0.000300 0.000100 0.000200 0.004600 0.000100 0.000000 0.000800 0.000300 0.002200 0.000200 0.000000 0.000700 0.000000 0.000100 0.000000
i 0.001800 0.000700 0.005500 0.001600 0.003700 0.002700 0.001000 0.000000 0.000000 0.000000 0.000800 0.003900 0.003200 0.016900 0.006300 0.000300 0.000000 0.002100 0.010600 0.008800 0.000000 0.001400 0.000100 0.000100 0.000000 0.000400
j 0.000000 0.000000 0.000000 0.000000 0.000200 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000400 0.000000 0.000000 0.000000 0.000000 0.000000 0.000400 0.000000 0.000000 0.000000 0.000000 0.000000
k 0.000000 0.000000 0.000000 0.000000 0.002800 0.000000 0.000000 0.000000 0.000800 0.000000 0.000000 0.000000 0.000000 0.000300 0.000300 0.000000 0.000000 0.000000 0.000200 0.000100 0.000000 0.000000 0.000300 0.000000 0.000300 0.000000
l 0.003400 0.000700 0.000800 0.002800 0.007200 0.000500 0.000100 0.000000 0.005700 0.000100 0.000300 0.005500 0.000400 0.000100 0.002800 0.000200 0.000200 0.000200 0.001200 0.001900 0.000800 0.000200 0.000500 0.000000 0.004700 0.000000
m 0.005600 0.000900 0.000100 0.000200 0.004800 0.000000 0.000000 0.000100 0.002600 0.000000 0.000000 0.000000 0.000500 0.000300 0.002800 0.001600 0.000000 0.000000 0.000600 0.000600 0.001300 0.000000 0.000200 0.000000 0.000300 0.000000
n 0.005400 0.000700 0.003100 0.011800 0.006400 0.000800 0.007500 0.000900 0.003700 0.000300 0.000300 0.001000 0.000700 0.000900 0.006500 0.000700 0.000000 0.000500 0.005100 0.011000 0.001200 0.000400 0.001500 0.000100 0.001400 0.000000
o 0.000900 0.001800 0.001800 0.001600 0.000300 0.009400 0.000300 0.000300 0.001300 0.000900 0.000500 0.001700 0.004400 0.014500 0.002300 0.002900 0.000900 0.011300 0.003700 0.005300 0.009600 0.001300 0.003600 0.000900 0.000400 0.000200
p 0.002100 0.000100 0.000000 0.000000 0.004000 0.000000 0.000000 0.000700 0.000800 0.000000 0.000000 0.002900 0.000000 0.000000 0.002800 0.002600 0.004200 0.000300 0.001400 0.000700 0.000000 0.000100 0.000000 0.000200 0.000000 0.000000
q 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.002000 0.000000 0.000000 0.000000 0.000000 0.000000
r 0.005700 0.000400 0.001400 0.001600 0.014800 0.000600 0.000600 0.000300 0.007700 0.000100 0.001100 0.001200 0.001500 0.001200 0.005400 0.000800 0.000000 0.001800 0.003900 0.006300 0.000600 0.000500 0.001000 0.000000 0.001700 0.000000
s 0.007500 0.001300 0.002100 0.000600 0.008400 0.001300 0.000600 0.003000 0.004200 0.000000 0.000200 0.000600 0.001400 0.001900 0.007100 0.002400 0.000200 0.000600 0.004100 0.012100 0.003000 0.000200 0.002700 0.000000 0.000400 0.000000
t 0.005600 0.001400 0.000600 0.000900 0.009400 0.000500 0.000100 0.031500 0.012800 0.000000 0.000000 0.001200 0.001400 0.000800 0.011100 0.000800 0.000000 0.003000 0.003200 0.005300 0.002200 0.000400 0.001600 0.000000 0.002100 0.000000
u 0.001800 0.000500 0.001700 0.001100 0.001100 0.000100 0.001200 0.000200 0.000500 0.000000 0.000000 0.002800 0.000900 0.003300 0.000200 0.001700 0.000000 0.004900 0.004200 0.004500 0.000000 0.000000 0.000000 0.000100 0.000100 0.000100
v 0.001500 0.000000 0.000000 0.000000 0.005300 0.000000 0.000000 0.000000 0.001900 0.000000 0.000000 0.000000 0.000000 0.000000 0.000600 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
w 0.003200 0.000000 0.000300 0.000400 0.003000 0.000100 0.000000 0.004800 0.003700 0.000000 0.000000 0.000400 0.000100 0.001000 0.001700 0.000200 0.000000 0.000100 0.000300 0.000600 0.000100 0.000100 0.000200 0.000000 0.000000 0.000000
x 0.000300 0.000000 0.000500 0.000000 0.000100 0.000000 0.000000 0.000000 0.000400 0.000000 0.000000 0.000000 0.000000 0.000000 0.000100 0.000400 0.000000 0.000000 0.000000 0.000100 0.000100 0.000000 0.000000 0.000000 0.000000 0.000000
y 0.001100 0.001100 0.001000 0.000400 0.001200 0.000300 0.000500 0.000500 0.001800 0.000000 0.000000 0.000600 0.000400 0.000300 0.002800 0.000700 0.000000 0.000500 0.001700 0.002100 0.000100 0.000300 0.001400 0.000000 0.000000 0.000000
z 0.000000 0.000000 0.000000 0.000000 0.000500 0.000000 0.000000 0.000000 0.000200 0.000000 0.000000 0.000100 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000100
